postal_code,gender,age_group,education_group,income_group,concerned_local_binary,concerned_global_binary,informed_binary,latitude,longitude
M1X,Woman,0,5,3,TRUE,TRUE,TRUE,43.82678957345971,-79.22305165876777
M2H,Man,0,2,1,TRUE,TRUE,TRUE,43.80137431192661,-79.35905160550459
M2H,Man,3,2,2,TRUE,TRUE,TRUE,43.80137431192661,-79.35905160550459
M2H,Man,3,4,2,FALSE,FALSE,FALSE,43.80137431192661,-79.35905160550459
M2H,Man,2,4,5,TRUE,TRUE,TRUE,43.80137431192661,-79.35905160550459
M2J,Woman,1,4,3,TRUE,TRUE,TRUE,43.780835285285285,-79.34870900900901
M2J,Man,2,2,1,FALSE,FALSE,FALSE,43.780835285285285,-79.34870900900901
M2J,Woman,0,2,2,TRUE,TRUE,TRUE,43.780835285285285,-79.34870900900901
M2J,Man,1,4,2,TRUE,TRUE,TRUE,43.780835285285285,-79.34870900900901
M2J,Man,1,5,0,TRUE,TRUE,TRUE,43.780835285285285,-79.34870900900901
M2K,Woman,1,4,2,TRUE,TRUE,TRUE,43.777621764705884,-79.38304558823529
M2K,Woman,0,4,1,TRUE,TRUE,TRUE,43.777621764705884,-79.38304558823529
M2K,Man,1,5,5,TRUE,TRUE,FALSE,43.777621764705884,-79.38304558823529
M2M,Man,3,3,3,TRUE,TRUE,TRUE,43.79135126811594,-79.41114547101449
M2M,Woman,0,3,3,TRUE,TRUE,FALSE,43.79135126811594,-79.41114547101449
M2M,Man,1,4,4,FALSE,TRUE,TRUE,43.79135126811594,-79.41114547101449
M2M,Man,1,5,3,TRUE,TRUE,TRUE,43.79135126811594,-79.41114547101449
M2N,Woman,0,5,3,TRUE,TRUE,FALSE,43.77093629736116,-79.4132495121774
M2N,Man,0,3,0,TRUE,TRUE,TRUE,43.77093629736116,-79.4132495121774
M2N,Man,0,4,0,TRUE,TRUE,TRUE,43.77093629736116,-79.4132495121774
M2N,Woman,2,5,5,TRUE,TRUE,TRUE,43.77093629736116,-79.4132495121774
M2N,Man,1,5,5,FALSE,TRUE,TRUE,43.77093629736116,-79.4132495121774
M2N,Woman,2,2,0,TRUE,TRUE,TRUE,43.77093629736116,-79.4132495121774
M2N,Man,1,4,5,FALSE,TRUE,TRUE,43.77093629736116,-79.4132495121774
M2N,Woman,1,5,1,TRUE,TRUE,FALSE,43.77093629736116,-79.4132495121774
M2N,Woman,1,4,4,TRUE,TRUE,FALSE,43.77093629736116,-79.4132495121774
M2N,Man,3,0,2,FALSE,FALSE,FALSE,43.77093629736116,-79.4132495121774
M2R,Man,0,5,4,TRUE,TRUE,TRUE,43.77913556475642,-79.4442928405029
M2R,Man,0,4,4,TRUE,TRUE,TRUE,43.77913556475642,-79.4442928405029
M2R,Woman,2,5,3,TRUE,TRUE,TRUE,43.77913556475642,-79.4442928405029
M3A,Man,0,4,3,TRUE,TRUE,FALSE,43.753432932692306,-79.32782211538462
M3A,Man,2,5,2,FALSE,FALSE,TRUE,43.753432932692306,-79.32782211538462
M3A,Woman,1,5,2,FALSE,FALSE,FALSE,43.753432932692306,-79.32782211538462
M3A,Man,0,5,5,FALSE,FALSE,FALSE,43.753432932692306,-79.32782211538462
M3A,Woman,3,1,1,TRUE,TRUE,TRUE,43.753432932692306,-79.32782211538462
M3A,Woman,3,5,4,TRUE,TRUE,TRUE,43.753432932692306,-79.32782211538462
M3A,Man,1,1,2,TRUE,TRUE,FALSE,43.753432932692306,-79.32782211538462
M3A,Woman,2,5,4,TRUE,TRUE,TRUE,43.753432932692306,-79.32782211538462
M3C,Man,1,4,0,TRUE,TRUE,TRUE,43.722655855005605,-79.34073514475693
M3H,Man,2,5,5,TRUE,TRUE,TRUE,43.751692023809525,-79.44606571428571
M3H,Man,0,2,0,TRUE,TRUE,TRUE,43.751692023809525,-79.44606571428571
M3H,Woman,1,3,1,TRUE,TRUE,TRUE,43.751692023809525,-79.44606571428571
M3H,Woman,1,4,5,FALSE,FALSE,TRUE,43.751692023809525,-79.44606571428571
M3H,Woman,3,3,2,TRUE,FALSE,FALSE,43.751692023809525,-79.44606571428571
M3H,Woman,1,5,4,TRUE,TRUE,TRUE,43.751692023809525,-79.44606571428571
M3J,Man,1,2,2,FALSE,FALSE,FALSE,43.76175428571429,-79.48934238095238
M3J,Woman,1,5,1,TRUE,TRUE,FALSE,43.76175428571429,-79.48934238095238
M3J,Woman,2,0,3,TRUE,TRUE,FALSE,43.76175428571429,-79.48934238095238
M3L,Man,3,1,1,TRUE,TRUE,TRUE,43.73590254273471,-79.51381572378213
M3L,Man,1,4,4,TRUE,TRUE,TRUE,43.73590254273471,-79.51381572378213
M3M,Man,1,3,4,FALSE,FALSE,FALSE,43.73026141304348,-79.49459347826087
M3M,Man,3,0,1,TRUE,TRUE,TRUE,43.73026141304348,-79.49459347826087
M3M,Woman,1,4,4,TRUE,TRUE,TRUE,43.73026141304348,-79.49459347826087
M3M,Man,2,0,2,FALSE,FALSE,TRUE,43.73026141304348,-79.49459347826087
M3N,Man,0,4,1,FALSE,FALSE,TRUE,43.756459368146075,-79.5212712573707
M4B,Woman,0,5,0,TRUE,TRUE,TRUE,43.70696144278607,-79.30692213930348
M4B,Woman,3,2,1,TRUE,TRUE,FALSE,43.70696144278607,-79.30692213930348
M4C,Man,2,4,4,TRUE,TRUE,TRUE,43.69050582147477,-79.3123104786546
M4C,Man,1,3,2,FALSE,FALSE,FALSE,43.69050582147477,-79.3123104786546
M4C,Man,1,5,5,TRUE,TRUE,TRUE,43.69050582147477,-79.3123104786546
M4C,Man,1,5,4,TRUE,TRUE,TRUE,43.69050582147477,-79.3123104786546
M4E,Woman,2,5,1,TRUE,TRUE,FALSE,43.67816946107784,-79.29493333333333
M4E,Woman,3,5,2,TRUE,TRUE,TRUE,43.67816946107784,-79.29493333333333
M4E,Woman,1,5,2,TRUE,TRUE,TRUE,43.67816946107784,-79.29493333333333
M4E,Woman,1,5,4,TRUE,TRUE,TRUE,43.67816946107784,-79.29493333333333
M4G,Man,0,5,4,TRUE,TRUE,TRUE,43.707170428015566,-79.3689214007782
M4G,Woman,0,5,5,TRUE,TRUE,TRUE,43.707170428015566,-79.3689214007782
M4G,Man,2,5,2,TRUE,TRUE,TRUE,43.707170428015566,-79.3689214007782
M4H,Woman,3,0,0,TRUE,TRUE,TRUE,43.70490649350649,-79.34642207792207
M4H,Woman,0,4,1,TRUE,TRUE,TRUE,43.70490649350649,-79.34642207792207
M4J,Man,2,2,1,FALSE,TRUE,TRUE,43.68589626307922,-79.33692047832587
M4J,Woman,0,5,3,TRUE,TRUE,TRUE,43.68589626307922,-79.33692047832587
M4J,Man,0,2,0,TRUE,TRUE,TRUE,43.68589626307922,-79.33692047832587
M4J,Woman,1,5,5,TRUE,TRUE,TRUE,43.68589626307922,-79.33692047832587
M4K,Man,1,4,4,TRUE,TRUE,TRUE,43.68007696969697,-79.35135535353535
M4K,Man,1,5,5,TRUE,TRUE,TRUE,43.68007696969697,-79.35135535353535
M4K,Woman,0,5,2,TRUE,TRUE,TRUE,43.68007696969697,-79.35135535353535
M4K,Man,3,5,3,TRUE,TRUE,TRUE,43.68007696969697,-79.35135535353535
M4L,Man,0,5,5,TRUE,TRUE,TRUE,43.67071603206413,-79.3173877755511
M4L,Woman,0,4,2,TRUE,TRUE,TRUE,43.67071603206413,-79.3173877755511
M4L,Man,2,5,5,TRUE,TRUE,TRUE,43.67071603206413,-79.3173877755511
M4L,Woman,1,4,4,TRUE,TRUE,TRUE,43.67071603206413,-79.3173877755511
M4L,Woman,3,0,2,TRUE,TRUE,FALSE,43.67071603206413,-79.3173877755511
M4M,Man,2,5,4,TRUE,TRUE,TRUE,43.66229733656174,-79.34445012106538
M4M,Man,2,5,5,TRUE,TRUE,TRUE,43.66229733656174,-79.34445012106538
M4M,Man,2,5,5,TRUE,FALSE,FALSE,43.66229733656174,-79.34445012106538
M4M,Man,1,4,2,TRUE,TRUE,TRUE,43.66229733656174,-79.34445012106538
M4N,Man,2,4,5,FALSE,FALSE,TRUE,43.72648594104309,-79.39430793650794
M4N,Woman,3,5,5,TRUE,TRUE,TRUE,43.72648594104309,-79.39430793650794
M4N,Man,2,4,2,FALSE,FALSE,FALSE,43.72648594104309,-79.39430793650794
M4P,Woman,0,5,0,FALSE,TRUE,TRUE,43.71078974358974,-79.38984725274726
M4P,Woman,1,3,1,TRUE,TRUE,TRUE,43.71078974358974,-79.38984725274726
M4P,Man,1,4,1,TRUE,TRUE,TRUE,43.71078974358974,-79.38984725274726
M4S,Man,0,5,2,TRUE,TRUE,TRUE,43.702859705882354,-79.38756647058824
M4S,Man,0,5,2,TRUE,TRUE,TRUE,43.702859705882354,-79.38756647058824
M4S,Man,1,4,2,TRUE,TRUE,TRUE,43.702859705882354,-79.38756647058824
M4S,Woman,3,4,5,TRUE,TRUE,FALSE,43.702859705882354,-79.38756647058824
M4S,Man,1,5,1,FALSE,FALSE,TRUE,43.702859705882354,-79.38756647058824
M4T,Man,3,5,2,TRUE,TRUE,TRUE,43.68877572016461,-79.38701769547325
M4T,Woman,1,4,3,TRUE,TRUE,TRUE,43.68877572016461,-79.38701769547325
M4V,Woman,0,4,2,TRUE,TRUE,FALSE,43.685906344410874,-79.40300936555892
M4W,Woman,3,5,3,TRUE,TRUE,TRUE,43.677362058823526,-79.38089058823529
M4X,Man,0,4,3,TRUE,TRUE,TRUE,43.66807532467533,-79.36965584415584
M4X,Man,3,5,4,TRUE,TRUE,TRUE,43.66807532467533,-79.36965584415584
M4X,Man,1,4,2,TRUE,TRUE,TRUE,43.66807532467533,-79.36965584415584
M4X,Man,2,5,4,TRUE,TRUE,TRUE,43.66807532467533,-79.36965584415584
M4X,Woman,2,5,2,TRUE,TRUE,TRUE,43.66807532467533,-79.36965584415584
M4Y,Man,0,4,2,FALSE,FALSE,TRUE,43.66762107279693,-79.3829264367816
M4Y,Man,1,4,2,TRUE,TRUE,TRUE,43.66762107279693,-79.3829264367816
M4Y,Man,2,4,4,FALSE,FALSE,TRUE,43.66762107279693,-79.3829264367816
M5A,Man,0,4,4,TRUE,TRUE,TRUE,43.65592982171799,-79.36545024311184
M5A,Woman,0,2,1,FALSE,TRUE,FALSE,43.65592982171799,-79.36545024311184
M5A,Woman,1,2,1,TRUE,TRUE,TRUE,43.65592982171799,-79.36545024311184
M5A,Man,1,2,5,TRUE,TRUE,TRUE,43.65592982171799,-79.36545024311184
M5B,Woman,1,5,4,TRUE,TRUE,FALSE,43.65920795454546,-79.37883125
